player_id,display_name,position,team_name,combo,interceptions,ball_recoveries,clearances
1182552,N. Jovičić,D,FK Jezero,C|I|R,52,262,79
1063206,L. Ujkaj,D,FK Dečić Tuzi,C|I|R,46,233,67
605370,L. Uskoković,D,Mladost DG,I|R,41,215,55
836566,A. Šćekić,M,FK Sutjeska Nikšić,I|R,42,215,27
1185130,A. Čepić,M,FK Jedinstvo Bijelo Polje,I|R,50,213,7
1035787,N. Jovićević,D,FK Jezero,I|R,40,206,54
286837,I. Martinović,D,FK Mornar Bar,C|I,45,193,62
138937,B. Kopitović,D,FK Sutjeska Nikšić,I,42,165,39
1163021,N. A. Cordoba,M,Mladost DG,I,40,161,17
960227,O. Obradović,D,FK Jedinstvo Bijelo Polje,C|R,23,243,65
94261,A. Kaluđeriović,M,FK Mornar Bar,R,30,245,17
1005627,A. Ćetković,M,FK Arsenal Tivat,R,35,207,30
138935,M. Raspopović,D,FK Budućnost Podgorica,R,34,205,32
171431,N. Stijepović,D,FK Mornar Bar,C,28,185,57
889352,Z. Mikijelj,D,FK Arsenal Tivat,C,24,176,71
314142,S. Vico,D,FK Bokelj Kotor,C,26,173,56
363780,S. Mandić,M,FK Arsenal Tivat,C,32,133,60
